BACKBONE,activation,alpha,batch_size,class_weights,encoder_freeze,epochs,lr,metrics,nclasses,organ,pretrain,rerun,roiZ,sample,shape,slice_weighting,steps_per_epoch,val_sample,val_steps,weights,weightspath
resnet34,softmax,0.3,32,[0.5 2.  2.5],False,20,1e-05,"[<segmentation_models.metrics.FScore object at 0x7f75c4eb8e20>, <segmentation_models.metrics.IOUScore object at 0x7f75c4e6c5e0>]",3,Otoliths,True,True,100,"[337, 341, 462, 464, 385, 200, 218, 330, 242, 259, 459, 463, 257, 256]","(224, 224)",1,43,"[443, 40, 78, 423]",12,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],False,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7f134c530e20>, <segmentation_models.metrics.IOUScore object at 0x7f134c4e45e0>]",3,Otoliths,True,False,100,"[337, 341, 462, 464, 385, 200, 218, 330, 242, 259, 459, 463, 257, 256]","(224, 224)",1,43,"[443, 40, 78, 423]",12,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],False,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7f43f3df9e20>, <segmentation_models.metrics.IOUScore object at 0x7f43f3dad5e0>]",3,Otoliths,True,False,100,"[337, 341, 462, 464, 385, 200, 218, 330, 242, 259, 459, 463, 257, 256]","(224, 224)",1,43,"[443, 40, 78, 423]",12,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],False,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7fd8b8f4ee20>, <segmentation_models.metrics.IOUScore object at 0x7fd8b8f025e0>]",3,Otoliths,True,False,100,"[337, 341, 462, 464, 385, 200, 218, 330, 242, 259, 459, 463, 257, 256]","(224, 224)",1,43,"[443, 40, 78, 423]",12,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],False,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7f993c57bb80>, <segmentation_models.metrics.IOUScore object at 0x7f993c57be20>]",3,Otoliths,True,False,224,"[337, 341, 462, 464, 385, 200, 218, 330, 277, 242, 259, 459, 463, 257, 256, 240, 421, 461]",420,"(224, 224)",1,30,"[443, 40, 78, 423]",8,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],False,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7f1284973b80>, <segmentation_models.metrics.IOUScore object at 0x7f1284973e20>]",3,Otoliths,True,False,224,"[40, 78, 200, 218, 240, 277, 330, 337, 341, 462, 464, 364, 385]",420,"(224, 224)",1,27,"[256, 421, 423, 242, 463, 259, 459]",7,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],False,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7f29a047c5e0>, <segmentation_models.metrics.IOUScore object at 0x7f29a047c610>]",3,Otoliths,True,False,224,"[40, 78, 200, 218, 240, 277, 330, 337, 341, 462]",420,"(224, 224)",1,23,"[464, 364, 385, 443, 257]",8,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],False,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7efd4c7a6e20>, <segmentation_models.metrics.IOUScore object at 0x7efd4c75a5e0>]",3,Otoliths,True,False,150,"[40, 78, 200, 218, 240, 277, 330, 337, 341, 462, 421, 423, 242, 463, 259, 459]",420,"(224, 224)",1,34,"[464, 364, 385, 40]",8,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],True,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7f85c27be5e0>, <segmentation_models.metrics.IOUScore object at 0x7f85c27be610>]",3,Otoliths,True,False,150,"[78, 200, 240, 277, 330, 337, 341, 462, 421, 423, 242, 463, 259, 459]",420,"(224, 224)",1,65,"[464, 364, 385, 40, 218]",23,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],True,35,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7f67634a15e0>, <segmentation_models.metrics.IOUScore object at 0x7f67634a1610>]",3,Otoliths,True,False,150,"[78, 200, 240, 277, 330, 337, 341, 462, 421, 423, 242, 463, 259, 459]","[0.20006534457206726, 0.7735005617141724, 0.6830540299415588]",69,"(224, 224)",1,65,"[257, 443, 461]",2021-02-16-00-06,"[464, 364, 385, 40, 218]",23,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],True,100,,1e-05,"[<segmentation_models.metrics.FScore object at 0x7fe9852965e0>, <segmentation_models.metrics.IOUScore object at 0x7fe985296610>]",3,Otoliths,True,False,150,"[78, 200, 240, 277, 330, 337, 341, 462, 421, 423, 242, 463, 259, 459]","[0.330526202917099, 0.6448179483413696, 0.5662192106246948]",69,"(224, 224)",1,65,"[257, 443, 461]",2021-02-16-00-25,"[464, 364, 385, 40, 218]",23,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],True,25,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7f49277175e0>, <segmentation_models.metrics.IOUScore object at 0x7f4927717610>]",3,Otoliths,True,False,150,"[78, 200, 240, 277, 330, 337, 341, 462, 421, 423, 242, 463, 259, 459]","[0.11309494078159332, 0.832565426826477, 0.7336425185203552]",69,"(224, 224)",1,65,"[257, 443, 461]",2021-02-16-08-47,"[464, 364, 385, 40, 218]",23,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],True,10,,1e-05,"[<segmentation_models.metrics.FScore object at 0x7fadee9f65e0>, <segmentation_models.metrics.IOUScore object at 0x7fadee9f6610>]",3,Otoliths,True,True,150,"[78, 200, 240, 277, 330, 337, 341, 462, 421, 423, 242, 463, 259, 459]","[0.07915998250246048, 0.8810326457023621, 0.7985087633132935]",69,"(224, 224)",1,65,"[257, 443, 461]",2021-02-16-09-03,"[464, 364, 385, 40, 218]",23,imagenet,output/Model/unet_checkpoints.hdf5
resnet34,softmax,0.7,32,[0.5 2.  2.5],True,30,,0.0001,"[<segmentation_models.metrics.FScore object at 0x7ff0e5c6a5e0>, <segmentation_models.metrics.IOUScore object at 0x7ff0e5c6a610>]",3,Otoliths,True,False,150,"[78, 200, 240, 277, 330, 337, 341, 462, 421, 423, 242, 463, 259, 459]","[0.07629179954528809, 0.8851706385612488, 0.8046756386756897]",69,"(224, 224)",1,65,"[257, 443, 461]",2021-02-16-09-16,"[464, 364, 385, 40, 218]",23,imagenet,output/Model/unet_checkpoints.hdf5
